2019-04-27 00:00:00, +48 304102570, +48 213397902
2001-05-22 13:00:00, +48 310744097, +48 249886700
2017-04-24 13:00:00, +48 523069020, +48 714941659
1990-05-13 13:00:00, +48 522128774, +48 487697613
2009-11-06 09:00:00, +48 366875268, +48 736787115
1992-08-07 23:00:00, +48 245616267, +48 954991874
1995-01-29 11:00:00, +48 734873837, +48 620460659
1999-02-17 13:00:00, +48 930985476, +48 850068275
1987-03-03 21:00:00, +48 043621931, +48 829640669
2002-04-14 21:00:00, +48 978313304, +48 403005239
1999-01-01 08:00:00, +48 131096196, +48 989421826
2010-09-19 20:00:00, +48 349277585, +48 201246989
2019-09-03 23:00:00, +48 706743297, +48 403780363
1990-09-17 17:00:00, +48 042436234, +48 855864938
1994-08-06 23:00:00, +48 202551779, +48 200848417
1998-08-10 10:00:00, +48 066423649, +48 037658732
2012-01-17 16:00:00, +48 048865975, +48 461303498
2013-08-12 15:00:00, +48 602041560, +48 936131982
2009-12-26 20:00:00, +48 704166345, +48 717937736
2019-01-31 06:00:00, +48 079232105, +48 838859555
1993-08-03 23:00:00, +48 350988264, +48 169769331
1992-02-06 07:00:00, +48 178863720, +48 348709497
2003-06-21 19:00:00, +48 987845066, +48 484250078
1994-01-05 07:00:00, +48 679593547, +48 207808748
1997-01-15 11:00:00, +48 771020257, +48 817509927
2000-09-06 07:00:00, +48 234282727, +48 280020066
1997-11-26 05:00:00, +48 921696020, +48 397113416
2002-02-21 13:00:00, +48 588008992, +48 317224653
2013-02-22 23:00:00, +48 848454037, +48 391426197
1993-05-25 02:00:00, +48 006245461, +48 817925308
2014-05-17 14:00:00, +48 889495891, +48 426507307
1995-06-12 03:00:00, +48 363692822, +48 995651068
2019-11-13 23:00:00, +48 302227363, +48 673965298
2002-10-02 09:00:00, +48 165258063, +48 362298600
2005-10-07 18:00:00, +48 084062462, +48 921287395
2006-02-04 13:00:00, +48 130427644, +48 546191111
2009-05-18 16:00:00, +48 831603580, +48 910817670
2010-01-27 09:00:00, +48 343388392, +48 742525194
2013-11-10 22:00:00, +48 904104811, +48 860395602
1991-08-12 08:00:00, +48 477295427, +48 585515689
1997-11-03 19:00:00, +48 607817464, +48 889405371
2007-08-09 08:00:00, +48 976247108, +48 980307421
1993-11-23 00:00:00, +48 346693674, +48 477909129
2018-04-07 13:00:00, +48 755635764, +48 002139068
1999-05-21 06:00:00, +48 827490699, +48 697131965
1995-02-16 00:00:00, +48 780152769, +48 229531219
2011-12-10 15:00:00, +48 174640261, +48 892439286
2009-07-13 21:00:00, +48 518362724, +48 723252990
2015-07-25 22:00:00, +48 514164083, +48 270520805
1988-01-11 07:00:00, +48 617553078, +48 273127779
1987-04-22 19:00:00, +48 349279590, +48 846249022
1995-12-31 21:00:00, +48 396647035, +48 316901630
2021-12-06 11:00:00, +48 480499072, +48 717404159
2020-04-30 12:00:00, +48 849162268, +48 820934040
1986-03-23 08:00:00, +48 898334326, +48 540605640
2022-05-02 19:00:00, +48 813831720, +48 206841942
1999-06-02 10:00:00, +48 748940702, +48 057590642
2001-10-06 21:00:00, +48 466960314, +48 670321423
1996-08-25 07:00:00, +48 583363610, +48 464405827
2011-11-25 21:00:00, +48 136569047, +48 817110617
1986-11-22 15:00:00, +48 327026483, +48 341330569
2017-01-17 00:00:00, +48 097999785, +48 990118342
1996-05-25 14:00:00, +48 966963005, +48 015097618
1992-03-11 14:00:00, +48 653469498, +48 952299078
1994-12-04 19:00:00, +48 372898008, +48 807868770
2004-10-13 10:00:00, +48 374697118, +48 627141424
1986-01-09 20:00:00, +48 794577282, +48 118249133
2020-09-23 01:00:00, +48 356928839, +48 058445977
2000-02-18 05:00:00, +48 549914113, +48 644545732
2019-09-10 04:00:00, +48 196441736, +48 365045249
1999-06-15 01:00:00, +48 946133988, +48 589809930
1990-03-21 01:00:00, +48 780106366, +48 165948187
2010-06-12 16:00:00, +48 958991410, +48 633068429
1990-12-27 21:00:00, +48 066229127, +48 052199706
1990-11-05 05:00:00, +48 272101455, +48 908967525
2021-01-08 19:00:00, +48 093320843, +48 534121602
1996-02-28 10:00:00, +48 245673790, +48 189077422
2015-06-26 08:00:00, +48 037993334, +48 075308814
1985-01-29 21:00:00, +48 281077203, +48 800604609
1998-01-11 09:00:00, +48 079024459, +48 688217827
1992-09-16 19:00:00, +48 971939394, +48 480934532
1999-11-17 11:00:00, +48 248467167, +48 736236016
1992-12-31 13:00:00, +48 573901854, +48 303330862
2006-04-03 04:00:00, +48 898147432, +48 089044081
2002-07-15 12:00:00, +48 228798194, +48 219384861
1995-07-01 15:00:00, +48 905524363, +48 771153864
2020-09-23 22:00:00, +48 711943653, +48 863325545
2007-05-24 10:00:00, +48 319724350, +48 216805798
1986-10-02 17:00:00, +48 742626735, +48 469312576
2021-04-08 19:00:00, +48 098253337, +48 202232617
2012-06-27 09:00:00, +48 082317823, +48 181304333
2014-02-24 15:00:00, +48 932110465, +48 714663610
1998-10-20 22:00:00, +48 501931733, +48 594807213
2016-05-22 20:00:00, +48 594457773, +48 706687234
2015-05-25 21:00:00, +48 222235707, +48 524302802
1999-02-24 21:00:00, +48 750017320, +48 508117447
1990-03-21 07:00:00, +48 664005653, +48 535977955
2011-10-11 09:00:00, +48 067572926, +48 476595055
2004-07-10 20:00:00, +48 809121575, +48 934464353
1999-04-01 18:00:00, +48 661929749, +48 641092540
2014-05-12 11:00:00, +48 700045669, +48 790337908
1986-04-06 06:00:00, +48 327581101, +48 868513699
1986-08-18 02:00:00, +48 778565481, +48 283675309
1995-01-03 01:00:00, +48 137725554, +48 945091551
1990-06-13 09:00:00, +48 509933401, +48 789655307
2018-12-11 04:00:00, +48 898765381, +48 063089452
1984-09-04 08:00:00, +48 079205804, +48 758341164
1999-10-09 22:00:00, +48 440142546, +48 980518861
1990-11-23 13:00:00, +48 760305853, +48 725423329
2020-12-15 00:00:00, +48 622951568, +48 323659296
2000-02-16 19:00:00, +48 839719671, +48 058669901
2000-06-18 08:00:00, +48 390543491, +48 294263299
1993-09-15 07:00:00, +48 236100318, +48 410650343
2006-09-16 01:00:00, +48 290216904, +48 520049605
2014-06-24 18:00:00, +48 289809539, +48 305478903
1998-12-19 14:00:00, +48 245530052, +48 353193062
1991-06-14 00:00:00, +48 253785901, +48 905734241
1993-09-29 12:00:00, +48 390134809, +48 961670635
1988-06-30 01:00:00, +48 353628143, +48 103603777
1991-11-15 16:00:00, +48 227070656, +48 324655736
2020-05-31 22:00:00, +48 979621870, +48 448787360
2005-06-13 04:00:00, +48 146879544, +48 796268045
1990-01-22 02:00:00, +48 982934918, +48 221039885
1986-05-16 22:00:00, +48 741403077, +48 505068885
1988-06-04 10:00:00, +48 930335088, +48 085721569
1992-10-18 10:00:00, +48 839930919, +48 211164755
2010-05-18 07:00:00, +48 498904617, +48 005106976
1998-06-18 05:00:00, +48 845097348, +48 727720172
2017-08-12 02:00:00, +48 607581747, +48 674591985
2014-09-17 14:00:00, +48 626964178, +48 169551609
1987-10-18 06:00:00, +48 517575472, +48 562700048
